trade,principal_trading_partners,2015,2016,2017,2018,2019,2020,2021,series
Payments,United States,363707.0,359769.0,371727.0,390848.0,391954.0,349324.0,188645.0,Goods trade
Receipts,Algeria,609.0,577.0,693.0,506.0,689.0,622.0,586.0,Goods trade
Receipts,Australia,1906.0,1933.0,2019.0,2028.0,2283.0,2162.0,1106.0,Goods trade
Receipts,Belgium,3177.0,3305.0,3640.0,3907.0,3298.0,2798.0,1739.0,Goods trade
Receipts,Brazil,2241.0,2060.0,1770.0,2243.0,2243.0,2157.0,1019.0,Goods trade
Receipts,China,21419.0,22346.0,24992.0,29076.0,24489.0,26303.0,15249.0,Goods trade
Receipts,European Union excluding the United Kingdom,22750.0,23993.0,25067.0,29463.0,29276.0,28678.0,14879.0,Goods trade
Receipts,France,3243.0,3519.0,3582.0,3528.0,3709.0,3785.0,1770.0,Goods trade
Receipts,Germany,3888.0,4429.0,4437.0,5181.0,6526.0,6582.0,3377.0,Goods trade
Receipts,Hong Kong,4025.0,2378.0,2309.0,4067.0,4162.0,1949.0,2014.0,Goods trade
Receipts,India,4466.0,4061.0,4463.0,4437.0,4991.0,3803.0,1248.0,Goods trade
Receipts,Indonesia,1777.0,1446.0,1773.0,2189.0,1956.0,1801.0,1229.0,Goods trade
Receipts,Iraq,187.0,134.0,76.0,208.0,153.0,92.0,39.0,Goods trade
Receipts,Italy,2364.0,2501.0,2372.0,3223.0,3326.0,3760.0,1321.0,Goods trade
Receipts,Japan,10131.0,11037.0,12237.0,13280.0,12903.0,12614.0,6815.0,Goods trade
Receipts,Mexico,7829.0,8896.0,9182.0,9495.0,8354.0,6979.0,4606.0,Goods trade
Receipts,Netherlands,3703.0,2948.0,3309.0,4926.0,5341.0,5588.0,2473.0,Goods trade
Receipts,Norway,1935.0,1585.0,2040.0,2469.0,2215.0,2610.0,1653.0,Goods trade
Receipts,Other European Union countries not elsewhere classified,5259.0,5396.0,5993.0,6561.0,5555.0,4737.0,3166.0,Goods trade
Receipts,Other countries not elsewhere classified,19622.0,18048.0,18840.0,20337.0,20609.0,19605.0,11128.0,Goods trade
Receipts,Peru,838.0,782.0,730.0,771.0,786.0,885.0,536.0,Goods trade
Receipts,Russian Federation,638.0,634.0,697.0,592.0,692.0,633.0,379.0,Goods trade
Receipts,Saudi Arabia,1276.0,1369.0,1555.0,1961.0,2939.0,1626.0,1717.0,Goods trade
Receipts,Singapore,1579.0,1326.0,1391.0,1235.0,1581.0,1311.0,537.0,Goods trade
Receipts,South Korea,4205.0,4634.0,5605.0,6121.0,5754.0,4839.0,2690.0,Goods trade
Receipts,Spain,1115.0,1893.0,1735.0,2141.0,1521.0,1428.0,1033.0,Goods trade
Receipts,Switzerland,1226.0,1382.0,2167.0,1934.0,1485.0,4897.0,1645.0,Goods trade
Receipts,Taiwan,1544.0,1673.0,1794.0,2088.0,2125.0,1847.0,1376.0,Goods trade
Receipts,Total of all countries,525314.0,522302.0,550526.0,587512.0,598166.0,523838.0,305544.0,Goods trade
Receipts,Turkey,1149.0,1205.0,1310.0,1377.0,1670.0,1153.0,427.0,Goods trade
Receipts,United Kingdom,16514.0,17971.0,18753.0,17182.0,20508.0,21413.0,9169.0,Goods trade
Receipts,United States,397447.0,392835.0,411064.0,434450.0,446305.0,375861.0,225498.0,Goods trade
Balances,Australia,668.0,613.0,737.0,540.0,559.0,233.0,14.0,Services trade
Balances,Belgium,282.0,615.0,183.0,265.0,321.0,211.0,102.0,Services trade
Balances,Brazil,437.0,381.0,565.0,643.0,725.0,490.0,157.0,Services trade
Balances,China,2786.0,3687.0,4238.0,4604.0,4753.0,2973.0,1100.0,Services trade
Balances,European Union excluding the United Kingdom,-5074.0,-4183.0,-5308.0,-4806.0,-4715.0,-3022.0,-1142.0,Services trade
Balances,France,-202.0,27.0,-205.0,493.0,858.0,650.0,312.0,Services trade
Balances,Germany,-615.0,-477.0,-635.0,11.0,27.0,-602.0,16.0,Services trade
Balances,Hong Kong,-2854.0,-2633.0,-3135.0,-3499.0,-3419.0,-3058.0,-1197.0,Services trade
Balances,India,23.0,157.0,592.0,1215.0,1680.0,785.0,717.0,Services trade
Balances,Indonesia,22.0,26.0,40.0,-7.0,-34.0,17.0,22.0,Services trade
Balances,Italy,-735.0,-753.0,-819.0,-823.0,-1134.0,-426.0,-107.0,Services trade
Balances,Japan,-343.0,-725.0,-545.0,-1057.0,-1225.0,-868.0,-488.0,Services trade
Balances,Mexico,-2255.0,-2218.0,-1934.0,-2317.0,-2249.0,-990.0,-41.0,Services trade
Balances,Netherlands,-776.0,-539.0,-571.0,-652.0,-623.0,-336.0,-152.0,Services trade
Balances,Norway,-271.0,-189.0,-323.0,-387.0,-361.0,-332.0,-86.0,Services trade
Balances,Other European Union countries not elsewhere classified,-2756.0,-2774.0,-2962.0,-3718.0,-3783.0,-2472.0,-1266.0,Services trade
Balances,Other countries not elsewhere classified,-3085.0,-4043.0,-3113.0,-3812.0,-2921.0,1130.0,1524.0,Services trade
Balances,Russian Federation,-412.0,-431.0,-503.0,-440.0,-405.0,-393.0,-139.0,Services trade
Balances,Saudi Arabia,129.0,111.0,91.0,-212.0,-151.0,-50.0,-95.0,Services trade
Balances,Singapore,-1226.0,-1191.0,-1328.0,-1381.0,-1407.0,-1302.0,-480.0,Services trade
Balances,South Korea,535.0,750.0,935.0,718.0,781.0,401.0,169.0,Services trade
Balances,Spain,-269.0,-281.0,-299.0,-383.0,-383.0,-45.0,-46.0,Services trade
Balances,Switzerland,842.0,193.0,38.0,31.0,76.0,-31.0,8.0,Services trade
Balances,Taiwan,-223.0,-146.0,-127.0,-207.0,-226.0,-229.0,-105.0,Services trade
Balances,Total of all countries,-25314.0,-22728.0,-22429.0,-22365.0,-21510.0,-7721.0,1268.0,Services trade
Balances,Turkey,-29.0,-28.0,-30.0,-82.0,-17.0,12.0,30.0,Services trade
Balances,United Kingdom,-1123.0,-832.0,-1822.0,-774.0,-570.0,-1215.0,-543.0,Services trade
Balances,United States,-13861.0,-12030.0,-11498.0,-11134.0,-12387.0,-2271.0,1843.0,Services trade
Payments,Australia,1075.0,1161.0,1135.0,1323.0,1311.0,835.0,458.0,Services trade
Payments,Belgium,653.0,694.0,772.0,962.0,926.0,703.0,448.0,Services trade
Payments,Brazil,322.0,328.0,334.0,369.0,357.0,256.0,117.0,Services trade
Payments,China,2558.0,2628.0,2669.0,3077.0,3344.0,2386.0,942.0,Services trade
Payments,European Union excluding the United Kingdom,16477.0,17288.0,18585.0,20467.0,20520.0,14356.0,7623.0,Services trade
Payments,France,3237.0,3447.0,3687.0,3519.0,3320.0,2230.0,1176.0,Services trade
Payments,Germany,2690.0,2828.0,3115.0,3132.0,3165.0,2641.0,1257.0,Services trade
Payments,Hong Kong,4244.0,4338.0,4709.0,5315.0,5295.0,4453.0,1936.0,Services trade
Payments,India,1284.0,1512.0,1600.0,2004.0,2499.0,2045.0,944.0,Services trade
Payments,Indonesia,167.0,148.0,164.0,194.0,236.0,172.0,46.0,Services trade
Payments,Italy,1197.0,1255.0,1352.0,1481.0,1773.0,813.0,328.0,Services trade
Payments,Japan,2251.0,2505.0,2344.0,2843.0,3110.0,2131.0,1157.0,Services trade
Payments,Mexico,3432.0,3462.0,3398.0,4138.0,4231.0,2173.0,690.0,Services trade
Payments,Netherlands,1944.0,1894.0,1924.0,2133.0,2149.0,1567.0,836.0,Services trade
Payments,Norway,574.0,556.0,588.0,690.0,671.0,556.0,230.0,Services trade
Payments,Other European Union countries not elsewhere classified,6123.0,6520.0,7024.0,8391.0,8326.0,6070.0,3393.0,Services trade
Payments,Other countries not elsewhere classified,14873.0,15175.0,15684.0,16594.0,17298.0,11760.0,4737.0,Services trade
Payments,Russian Federation,701.0,703.0,770.0,744.0,720.0,630.0,270.0,Services trade
Payments,Saudi Arabia,478.0,459.0,453.0,650.0,531.0,478.0,224.0,Services trade
Payments,Singapore,1901.0,1924.0,2069.0,2264.0,2323.0,2063.0,916.0,Services trade
Payments,South Korea,536.0,515.0,532.0,562.0,519.0,413.0,185.0,Services trade
Payments,Spain,633.0,650.0,709.0,848.0,861.0,332.0,184.0,Services trade
Payments,Switzerland,1380.0,1557.0,1777.0,1797.0,1776.0,1657.0,806.0,Services trade
Payments,Taiwan,704.0,672.0,717.0,832.0,888.0,726.0,327.0,Services trade
Payments,Total of all countries,133956.0,138519.0,145229.0,156531.0,160844.0,122333.0,56153.0,Services trade
Payments,Turkey,190.0,208.0,216.0,283.0,226.0,131.0,50.0,Services trade
Payments,United Kingdom,7317.0,7516.0,8235.0,7916.0,7881.0,7048.0,3363.0,Services trade
Payments,United States,73494.0,75866.0,79251.0,84469.0,87110.0,68065.0,31128.0,Services trade
Receipts,Australia,1742.0,1776.0,1871.0,1863.0,1870.0,1070.0,473.0,Services trade
Receipts,Belgium,935.0,1306.0,954.0,1227.0,1247.0,914.0,550.0,Services trade
Receipts,Brazil,760.0,709.0,898.0,1012.0,1081.0,746.0,274.0,Services trade
Receipts,China,5344.0,6317.0,6907.0,7682.0,8096.0,5359.0,2041.0,Services trade
Receipts,European Union excluding the United Kingdom,11402.0,13105.0,13277.0,15661.0,15806.0,11336.0,6481.0,Services trade
Receipts,France,3034.0,3475.0,3484.0,4010.0,4179.0,2880.0,1488.0,Services trade
Receipts,Germany,2074.0,2350.0,2480.0,3141.0,3192.0,2039.0,1273.0,Services trade
Receipts,Hong Kong,1389.0,1706.0,1574.0,1816.0,1875.0,1394.0,739.0,Services trade
Receipts,India,1306.0,1669.0,2191.0,3219.0,4181.0,2829.0,1661.0,Services trade
Receipts,Indonesia,189.0,173.0,204.0,187.0,203.0,189.0,68.0,Services trade
Receipts,Italy,461.0,502.0,533.0,661.0,640.0,386.0,220.0,Services trade
Receipts,Japan,1907.0,1778.0,1799.0,1787.0,1887.0,1262.0,670.0,Services trade
Receipts,Mexico,1178.0,1245.0,1463.0,1822.0,1981.0,1183.0,650.0,Services trade
Receipts,Netherlands,1166.0,1357.0,1354.0,1482.0,1525.0,1232.0,684.0,Services trade
Receipts,Norway,303.0,369.0,265.0,303.0,310.0,224.0,145.0,Services trade
Receipts,Other European Union countries not elsewhere classified,3368.0,3745.0,4062.0,4672.0,4544.0,3597.0,2128.0,Services trade
Receipts,Other countries not elsewhere classified,11788.0,11132.0,12571.0,12782.0,14376.0,12889.0,6261.0,Services trade
Receipts,Russian Federation,288.0,273.0,266.0,303.0,316.0,236.0,132.0,Services trade
Receipts,Saudi Arabia,606.0,570.0,544.0,436.0,380.0,428.0,129.0,Services trade
Receipts,Singapore,675.0,733.0,742.0,884.0,916.0,759.0,435.0,Services trade
Receipts,South Korea,1071.0,1264.0,1469.0,1280.0,1301.0,813.0,353.0,Services trade
Receipts,Spain,364.0,369.0,410.0,467.0,480.0,287.0,138.0,Services trade
Receipts,Switzerland,2221.0,1750.0,1815.0,1828.0,1852.0,1626.0,814.0,Services trade
Receipts,Taiwan,481.0,526.0,589.0,626.0,662.0,497.0,222.0,Services trade
Receipts,Total of all countries,108641.0,115793.0,122800.0,134167.0,139334.0,114611.0,57421.0,Services trade
Receipts,Turkey,162.0,178.0,187.0,202.0,209.0,142.0,81.0,Services trade
Receipts,United Kingdom,6194.0,6683.0,6415.0,7143.0,7312.0,5833.0,2821.0,Services trade
Receipts,United States,59633.0,63835.0,67753.0,73334.0,74723.0,65794.0,32972.0,Services trade
