canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Foreign direct investment in Canada - total book value,Guyana,0.0,0.0,1.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Haiti,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Honduras,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Hong Kong,11208.0,14707.0,20140.0,24933.0,24259.0,22193.0,FDI IIC
Foreign direct investment in Canada - total book value,Hungary,1956.0,2551.0,2352.0,846.0,799.0,799.0,FDI IIC
Foreign direct investment in Canada - total book value,Iceland,-7.0,21.0,0.0,-2.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,India,3626.0,3251.0,2723.0,2920.0,2640.0,-83.0,FDI IIC
Foreign direct investment in Canada - total book value,Indonesia,1.0,0.0,84.0,139.0,89.0,99.0,FDI IIC
Foreign direct investment in Canada - total book value,Iran,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Ireland,6980.0,6216.0,6780.0,6457.0,6480.0,17574.0,FDI IIC
Foreign direct investment in Canada - total book value,Isle of Man,0.0,0.0,0.0,174.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Israel,243.0,98.0,215.0,1301.0,685.0,617.0,FDI IIC
Foreign direct investment in Canada - total book value,Italy,1387.0,1436.0,1431.0,1922.0,3339.0,3378.0,FDI IIC
Foreign direct investment in Canada - total book value,Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Jamaica,1.0,1.0,1.0,81.0,7.0,7.0,FDI IIC
Foreign direct investment in Canada - total book value,Japan,26452.0,27888.0,30069.0,33258.0,32385.0,32818.0,FDI IIC
Foreign direct investment in Canada - total book value,Jersey,75.0,33.0,30.0,552.0,1695.0,1733.0,FDI IIC
Foreign direct investment in Canada - total book value,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Kuwait,2297.0,1992.0,2180.0,2206.0,2294.0,2297.0,FDI IIC
Foreign direct investment in Canada - total book value,Kyrgyzstan,499.0,339.0,700.0,776.0,782.0,858.0,FDI IIC
Foreign direct investment in Canada - total book value,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Lebanon,0.0,0.0,0.0,-3.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Liberia,46.0,31.0,49.0,85.0,73.0,73.0,FDI IIC
Foreign direct investment in Canada - total book value,Libya,271.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Liechtenstein,58.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Luxembourg,51486.0,51490.0,57023.0,52483.0,62225.0,57446.0,FDI IIC
Foreign direct investment in Canada - total book value,Macau,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Malaysia,-16.0,-106.0,235.0,48.0,0.0,-4.0,FDI IIC
Foreign direct investment in Canada - total book value,Mali,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Malta,0.0,0.0,0.0,179.0,1090.0,1076.0,FDI IIC
Foreign direct investment in Canada - total book value,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Mauritius,102.0,0.0,0.0,55.0,64.0,65.0,FDI IIC
Foreign direct investment in Canada - total book value,Mexico,1775.0,2847.0,2695.0,2394.0,2267.0,2288.0,FDI IIC
Foreign direct investment in Canada - total book value,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Mongolia,-36.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Morocco,0.0,0.0,0.0,2.0,2.0,2.0,FDI IIC
Foreign direct investment in Canada - total book value,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Netherlands,92513.0,102655.0,103505.0,137652.0,140826.0,147903.0,FDI IIC
Foreign direct investment in Canada - total book value,Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,New Zealand,45.0,45.0,126.0,301.0,592.0,593.0,FDI IIC
Foreign direct investment in Canada - total book value,Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Niger,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Nigeria,1569.0,1113.0,1170.0,1174.0,1248.0,1248.0,FDI IIC
Foreign direct investment in Canada - total book value,North America,397174.0,405448.0,412891.0,455436.0,490324.0,500904.0,FDI IIC
Foreign direct investment in Canada - total book value,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Norway,3727.0,3338.0,4402.0,4399.0,5874.0,5690.0,FDI IIC
Foreign direct investment in Canada - total book value,Oman,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Pakistan,0.0,0.0,0.0,1.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Panama,0.0,15.0,0.0,36.0,-11.0,27.0,FDI IIC
Foreign direct investment in Canada - total book value,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,People's Republic of China,13763.0,15220.0,15927.0,21489.0,24197.0,24287.0,FDI IIC
Foreign direct investment in Canada - total book value,Peru,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Philippines,62.0,1.0,0.0,-3.0,-2.0,-3.0,FDI IIC
Foreign direct investment in Canada - total book value,Poland,1896.0,2710.0,3049.0,2936.0,2762.0,2560.0,FDI IIC
Foreign direct investment in Canada - total book value,Portugal,70.0,70.0,70.0,70.0,66.0,96.0,FDI IIC
Foreign direct investment in Canada - total book value,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Romania,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Russian Federation,933.0,1062.0,1441.0,1638.0,1327.0,1777.0,FDI IIC
Foreign direct investment in Canada - total book value,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Singapore,247.0,298.0,322.0,1115.0,1378.0,1330.0,FDI IIC
Foreign direct investment in Canada - total book value,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,South Africa,1432.0,760.0,635.0,1168.0,1008.0,1152.0,FDI IIC
Foreign direct investment in Canada - total book value,South Korea,1413.0,2079.0,2510.0,3498.0,2827.0,3075.0,FDI IIC
Foreign direct investment in Canada - total book value,South and Central America,19859.0,17559.0,15700.0,15273.0,14161.0,15760.0,FDI IIC
Foreign direct investment in Canada - total book value,Spain,7852.0,6380.0,5405.0,5337.0,13119.0,13172.0,FDI IIC
Foreign direct investment in Canada - total book value,Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Suriname,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Sweden,2398.0,2355.0,2214.0,1920.0,2204.0,2372.0,FDI IIC
Foreign direct investment in Canada - total book value,Switzerland,32328.0,41449.0,44190.0,40603.0,49409.0,50521.0,FDI IIC
Foreign direct investment in Canada - total book value,Syrian Arab Republic,0.0,0.0,0.0,-15.0,-17.0,-17.0,FDI IIC
Foreign direct investment in Canada - total book value,Taiwan,130.0,59.0,174.0,-123.0,256.0,256.0,FDI IIC
Foreign direct investment in Canada - total book value,Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,"Tanzania, United Republic of",0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Thailand,1.0,8.0,53.0,86.0,58.0,57.0,FDI IIC
Foreign direct investment in Canada - total book value,Togo,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Turkey,-1.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Uganda,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Union of Soviet Socialist Republics,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,United Arab Emirates,9681.0,3622.0,3354.0,2942.0,2340.0,1676.0,FDI IIC
Foreign direct investment in Canada - total book value,United Kingdom,46781.0,46658.0,41285.0,61631.0,65742.0,69619.0,FDI IIC
Foreign direct investment in Canada - total book value,United States,369482.0,376760.0,384018.0,419552.0,446822.0,456781.0,FDI IIC
Foreign direct investment in Canada - total book value,Uruguay,-6.0,735.0,1279.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Venezuela,11.0,4.0,1.0,197.0,-1.0,-1.0,FDI IIC
Foreign direct investment in Canada - total book value,Viet Nam,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Yugoslavia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Zaire,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Zambia,0.0,0.0,0.0,0.0,-1.0,-2.0,FDI IIC
Foreign direct investment in Canada - total book value,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
