canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Canadian direct investment abroad - total book value,Gabon,-169.0,-44.0,-15.0,32.0,33.0,32.0,FDI IIC
Canadian direct investment abroad - total book value,Gambia,134.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Georgia,1.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,German Democratic Republic (East),0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Germany,10593.0,11574.0,9162.0,10712.0,11715.0,14329.0,FDI IIC
Canadian direct investment abroad - total book value,Ghana,-532.0,-112.0,783.0,236.0,-47.0,-26.0,FDI IIC
Canadian direct investment abroad - total book value,Greece,26.0,271.0,297.0,327.0,304.0,214.0,FDI IIC
Canadian direct investment abroad - total book value,Grenada,0.0,0.0,-1.0,1.0,331.0,331.0,FDI IIC
Canadian direct investment abroad - total book value,Guadeloupe,0.0,0.0,0.0,7.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Guatemala,28.0,13.0,-3.0,88.0,52.0,47.0,FDI IIC
Canadian direct investment abroad - total book value,Guernsey,2107.0,1990.0,2061.0,2067.0,1946.0,1967.0,FDI IIC
Canadian direct investment abroad - total book value,Guinea,0.0,0.0,12.0,16.0,21.0,21.0,FDI IIC
Canadian direct investment abroad - total book value,Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Guyana,25.0,150.0,64.0,350.0,-66.0,-3.0,FDI IIC
Canadian direct investment abroad - total book value,Haiti,-2.0,0.0,0.0,6.0,5.0,5.0,FDI IIC
Canadian direct investment abroad - total book value,Honduras,319.0,89.0,444.0,746.0,287.0,302.0,FDI IIC
Canadian direct investment abroad - total book value,Hong Kong,7333.0,8511.0,8650.0,11009.0,12535.0,17982.0,FDI IIC
Canadian direct investment abroad - total book value,Hungary,6020.0,4878.0,5030.0,2387.0,5068.0,9461.0,FDI IIC
Canadian direct investment abroad - total book value,Iceland,115.0,0.0,174.0,0.0,0.0,1.0,FDI IIC
Canadian direct investment abroad - total book value,India,1273.0,1494.0,1654.0,2510.0,2030.0,1982.0,FDI IIC
Canadian direct investment abroad - total book value,Indonesia,3239.0,2969.0,2912.0,2971.0,3511.0,3474.0,FDI IIC
Canadian direct investment abroad - total book value,Iran,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
